--- 2D FFT Log Data (Range-Doppler Map) ---
RADAR_ANT_COUNT: 2
DOPPLER_POINTS: 64
RANGE_BINS_LOG: 20
-------------------------------------------

=== Antenna 0 Results ===
--- Ant 0 / Range Bin 0 Doppler FFT Results ---
  Doppler Bin 1: R=-151.29, I=-171.30, Magnitude=228.54
  Doppler Bin 2: R=-131.37, I=-43.64, Magnitude=138.43
  Doppler Bin 3: R=39.28, I=-55.74, Magnitude=68.19
  Doppler Bin 4: R=180.89, I=125.16, Magnitude=219.97
  Doppler Bin 5: R=-12.46, I=33.40, Magnitude=35.64
  Doppler Bin 6: R=26.33, I=192.76, Magnitude=194.55
  Doppler Bin 7: R=-137.61, I=-75.99, Magnitude=157.20
  Doppler Bin 8: R=50.52, I=34.08, Magnitude=60.94
  Doppler Bin 9: R=102.71, I=43.79, Magnitude=111.65
  Doppler Bin 10: R=173.56, I=165.03, Magnitude=239.50
  Doppler Bin 11: R=75.74, I=159.26, Magnitude=176.36
  Doppler Bin 12: R=-129.35, I=53.52, Magnitude=139.99
  Doppler Bin 13: R=-107.82, I=49.20, Magnitude=118.52
  Doppler Bin 14: R=73.93, I=86.88, Magnitude=114.07
  Doppler Bin 15: R=-130.47, I=45.47, Magnitude=138.16
  Doppler Bin 16: R=108.83, I=-4.63, Magnitude=108.93
  Doppler Bin 17: R=11.01, I=-34.20, Magnitude=35.93
  Doppler Bin 18: R=18.33, I=116.65, Magnitude=118.08
  Doppler Bin 19: R=-139.01, I=53.92, Magnitude=149.10
  Doppler Bin 20: R=174.47, I=-179.43, Magnitude=250.27
  Doppler Bin 21: R=427.38, I=-52.77, Magnitude=430.63
  Doppler Bin 22: R=-124.49, I=77.90, Magnitude=146.86
  Doppler Bin 23: R=12.47, I=-34.13, Magnitude=36.34
  Doppler Bin 24: R=-69.21, I=-80.68, Magnitude=106.29
  Doppler Bin 25: R=-300.26, I=-183.87, Magnitude=352.09
  Doppler Bin 26: R=53.97, I=67.94, Magnitude=86.77
  Doppler Bin 27: R=-20.67, I=49.20, Magnitude=53.36
  Doppler Bin 28: R=125.99, I=154.80, Magnitude=199.59
  Doppler Bin 29: R=-127.72, I=-187.65, Magnitude=226.99
  Doppler Bin 30: R=28.21, I=-86.79, Magnitude=91.26
  Doppler Bin 31: R=-257.73, I=2.33, Magnitude=257.74
  Doppler Bin 32: R=-53.80, I=738.43, Magnitude=740.39
  Doppler Bin 33: R=94.52, I=35.28, Magnitude=100.88
  Doppler Bin 34: R=130.02, I=-7.34, Magnitude=130.22
  Doppler Bin 35: R=-252.73, I=-55.91, Magnitude=258.84
  Doppler Bin 36: R=-1.54, I=-18.13, Magnitude=18.20
  Doppler Bin 37: R=-83.24, I=349.08, Magnitude=358.87
  Doppler Bin 38: R=13.39, I=-55.60, Magnitude=57.19
  Doppler Bin 39: R=-115.48, I=108.86, Magnitude=158.70
  Doppler Bin 40: R=-4.37, I=177.62, Magnitude=177.68
  Doppler Bin 41: R=227.53, I=123.67, Magnitude=258.96
  Doppler Bin 42: R=-57.41, I=-75.08, Magnitude=94.52
  Doppler Bin 43: R=181.53, I=256.26, Magnitude=314.04
  Doppler Bin 44: R=119.19, I=-18.23, Magnitude=120.58
  Doppler Bin 45: R=64.67, I=-119.68, Magnitude=136.04
  Doppler Bin 46: R=-66.25, I=-20.88, Magnitude=69.46
  Doppler Bin 47: R=36.40, I=-107.12, Magnitude=113.13
  Doppler Bin 48: R=-52.51, I=-13.08, Magnitude=54.12
  Doppler Bin 49: R=255.13, I=133.81, Magnitude=288.09
  Doppler Bin 50: R=174.13, I=-196.73, Magnitude=262.73
  Doppler Bin 51: R=9.32, I=198.72, Magnitude=198.94
  Doppler Bin 52: R=-218.20, I=67.12, Magnitude=228.29
  Doppler Bin 53: R=-24.73, I=138.45, Magnitude=140.64
  Doppler Bin 54: R=40.11, I=250.92, Magnitude=254.11
  Doppler Bin 55: R=-18.64, I=53.35, Magnitude=56.52
  Doppler Bin 56: R=-166.64, I=-147.19, Magnitude=222.34
  Doppler Bin 57: R=-14.49, I=45.09, Magnitude=47.36
  Doppler Bin 58: R=-204.61, I=14.73, Magnitude=205.14
  Doppler Bin 59: R=-60.48, I=187.84, Magnitude=197.34
  Doppler Bin 60: R=-77.72, I=44.55, Magnitude=89.59
  Doppler Bin 61: R=187.45, I=-123.00, Magnitude=224.20
  Doppler Bin 62: R=327.32, I=98.99, Magnitude=341.96
  Doppler Bin 63: R=174.60, I=-101.57, Magnitude=202.00

